cell	lab	n	genuine	cached_refusal	cached_preamble	none	genuine_pct
opus-3-4k	Anthropic	25	0	5	0	20	0.0
opus-4-0-16k	Anthropic	25	3	0	0	22	12.0
opus-4-1-16k	Anthropic	25	3	0	0	22	12.0
opus-4-5-16k	Anthropic	25	10	0	0	15	40.0
opus-4-6-direct-16k	Anthropic	25	10	0	0	15	40.0
opus-4-6-or	Anthropic	25	7	0	0	18	28.0
opus-4-7-direct	Anthropic	25	13	0	0	12	52.0
opus-4-7-or	Anthropic	25	14	0	0	11	56.0
sonnet-4-0-16k	Anthropic	25	8	0	0	17	32.0
sonnet-4-5-16k	Anthropic	25	4	0	0	21	16.0
sonnet-4-6-direct-16k	Anthropic	25	6	0	0	19	24.0
sonnet-4-6-or	Anthropic	25	3	0	0	22	12.0
gpt-4-1-16k	OpenAI	25	2	0	0	23	8.0
gpt-4o-direct-16k	OpenAI	25	0	0	0	25	0.0
gpt-4o-or	OpenAI	25	0	0	0	25	0.0
gpt-5-direct	OpenAI	25	0	0	0	25	0.0
gpt-5-codex-direct	OpenAI	25	1	0	0	24	4.0
gpt-5-1-direct	OpenAI	25	3	0	0	22	12.0
gpt-5-1-codex-direct	OpenAI	25	0	0	0	25	0.0
gpt-5-2-direct	OpenAI	25	0	0	0	25	0.0
gpt-5-2-codex-direct	OpenAI	25	0	0	0	25	0.0
gpt-5-3-direct	OpenAI	25	0	0	0	25	0.0
gpt-5-3-codex-direct	OpenAI	25	2	0	0	23	8.0
gpt-5-4-direct-16k	OpenAI	25	0	0	0	25	0.0
gpt-5-4-or	OpenAI	25	1	0	0	24	4.0
gpt-5-5-direct	OpenAI	25	0	0	0	25	0.0
gpt-5-5-or	OpenAI	25	0	0	0	25	0.0
gpt-5-5-pro-direct	OpenAI	25	0	0	0	25	0.0
grok-3-16k	xAI	25	0	0	0	25	0.0
grok-4-16k	xAI	25	12	0	11	2	48.0
grok-4-2-16k	xAI	25	15	0	1	9	60.0
grok-4-20-or	xAI	25	3	0	0	22	12.0
gemini-2-5-pro-16k	Google	25	4	0	0	21	16.0
gemini-3-1-pro-16k	Google	25	0	0	0	25	0.0
qwen3-6-plus-or	Alibaba	25	2	0	0	23	8.0
qwen3-coder-plus-or	Alibaba	25	14	0	0	11	56.0
deepseek-chat-direct	DeepSeek	25	0	0	0	25	0.0
deepseek-v3-2-or-16k	DeepSeek	25	1	0	0	24	4.0
deepseek-v4-pro-direct	DeepSeek	25	5	0	1	19	20.0
kimi-coding-direct	Moonshot	25	0	0	0	25	0.0
kimi-k2-5-or-16k	Moonshot	24	2	0	0	22	8.3
kimi-k2-6-or	Moonshot	25	0	0	0	25	0.0
glm-4-5-or	Z.ai	25	3	0	0	22	12.0
glm-4-6-coding-direct	Z.ai	25	1	0	0	24	4.0
glm-4-6-or	Z.ai	25	4	0	0	21	16.0
glm-4-7-or	Z.ai	25	2	0	0	23	8.0
glm-5-1-coding-direct	Z.ai	25	5	0	0	20	20.0
glm-5-1-or	Z.ai	25	0	0	0	25	0.0
minimax-m2-7-or	MiniMax	25	1	0	0	24	4.0
minimax-m2-direct	MiniMax	25	0	0	0	25	0.0
minimax-m2-or	MiniMax	25	2	0	0	23	8.0
minimax-m2-or-pin-atlascloud	MiniMax	25	1	0	0	24	4.0
minimax-m2-or-pin-google	MiniMax	25	1	0	0	24	4.0
minimax-m2-or-pin-minimax	MiniMax	25	1	0	0	24	4.0
minimax-m2-or-pin-novita	MiniMax	25	1	0	0	24	4.0
