lab	model	release_date	date_decimal	months_since_2024	genuine_pct
Anthropic	Opus 3	2024-02-29	2024.1612	1.93	0.0
Anthropic	Opus 4.0	2025-05-22	2025.3863	16.70	12.0
Anthropic	Opus 4.1	2025-08-05	2025.5918	19.13	12.0
Anthropic	Opus 4.5	2025-11-12	2025.8630	22.37	40.0
Anthropic	Opus 4.6	2026-02-05	2026.0959	25.13	34.0
Anthropic	Opus 4.7	2026-04-17	2026.2904	27.53	54.0
Anthropic	Sonnet 4.0	2025-05-22	2025.3863	16.70	32.0
Anthropic	Sonnet 4.5	2025-09-29	2025.7425	20.93	16.0
Anthropic	Sonnet 4.6	2026-02-19	2026.1342	25.60	18.0
xAI	Grok 3	2025-02-17	2025.1288	13.53	0.0
xAI	Grok 4	2025-07-09	2025.5178	18.27	48.0
xAI	Grok 4.20	2026-03-09	2026.1836	26.27	36.0
Alibaba	Qwen3.6-plus	2026-04-02	2026.2493	27.03	8.0
Alibaba	Qwen3-Coder-plus	2026-04-02	2026.2493	27.03	56.0
Google	Gemini 2.5 Pro	2025-03-25	2025.2274	14.80	16.0
Google	Gemini 3.1 Pro	2026-02-18	2026.1315	25.57	0.0
Z.ai	GLM 4.5	2025-07-08	2025.5151	18.23	12.0
Z.ai	GLM 4.6	2025-11-04	2025.8411	22.10	16.0
Z.ai	GLM 4.7	2025-12-21	2025.9699	23.67	8.0
Z.ai	GLM 5.1	2026-04-04	2026.2548	27.10	0.0
DeepSeek	DeepSeek-chat	2024-12-26	2024.9836	11.83	0.0
DeepSeek	DeepSeek v3.2	2025-09-29	2025.7425	20.93	4.0
DeepSeek	DeepSeek v4-pro	2026-04-23	2026.3068	27.73	20.0
Moonshot	Kimi K2.5	2025-07-11	2025.5233	18.33	8.0
Moonshot	Kimi K2.6	2026-04-19	2026.2959	27.60	0.0
MiniMax	MiniMax M2	2025-10-23	2025.8082	21.73	0.0
MiniMax	MiniMax M2.7	2026-04-17	2026.2904	27.53	4.0
